   x坐标,    y坐标, 材料型号编号, 本公司编号 , 材料名称 
   587,    351, 713060045,U00-70180-701,18AWG灰导线（UL1007） 
   584,    361, 801040020,U00-70180-701,热缩套管标签(Φ5-白色) 
   585,    374, 801040019,none,热缩套管标签(Φ3-白色) 
   585,    384, 713040009,T47-25161-411KS,M4线耳RDL2-4（UL认证） 
   585,    395, 713060044,U01-70180-101,18AWG黑导线（UL1007） 
   585,    406, 713060043,U01-50180-101,18AWG黑导线（1015/UL认证） 
   588,    417, 713020284,H12-04114-201AM,4芯电源插头172167-1 AMP 
   585,    428, 713010037,T12-20221-805AM,插针 770902-1 (4芯电源插头用) 
   586,    438, 713020600,H12-20241-210MO,20芯电源插头/3901-2200/MOLEX/公 
   585,    448, 713010090,T12-20241-B10MO,插针3900-0038/Molex 
